0     1    2    3    4    5    6    7    8    9   10   11   12 
1    0   18   22   19   23   20   18   19    0   20   24   35 
2   21   0    20    0   19    0   22   20   18   19    0   33 
3   22   23   0     0    0   17   16   24   16   18   24    0 
4   17   25   0     0   21   22   20   17   15   16   24   31 
5   12   19  18    19    0   21   21   23   21   0     0   21 
6   20    0   0    17   21    0   20    0   19   17   22   20 
7   22   24  28    16   23    0    0   19   24   25   30   19 
8   23   29  20    17   24   24   23    0   19   22   30   26 
9    0   28  29    21    0   24   18   18    0    0   22   23 
10  31   20   0    19   23    0   20   24   19    0   20    0 
11  17    0  25    23   20   18   16   19    0   39    0   34 
12   0   32  24    26    0   19    0   18   37   21   20    0 			


